57	67	dyskinesia	http://purl.obolibrary.org/obo/DOID_306
96	103	disease	http://purl.obolibrary.org/obo/DOID_4
107	117	dyskinesia	http://purl.obolibrary.org/obo/DOID_306
104	126	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
43	63	central core disease	http://purl.obolibrary.org/obo/DOID_3529
56	63	disease	http://purl.obolibrary.org/obo/DOID_4
73	81	myopathy	http://purl.obolibrary.org/obo/DOID_423
203	210	disease	http://purl.obolibrary.org/obo/DOID_4
125	178	catecholaminergic polymorphic ventricular tachycardia	http://purl.obolibrary.org/obo/DOID_0060674
66	74	syndrome	http://purl.obolibrary.org/obo/DOID_225
137	145	syndrome	http://purl.obolibrary.org/obo/DOID_225
40	48	myopathy	http://purl.obolibrary.org/obo/DOID_423
65	72	disease	http://purl.obolibrary.org/obo/DOID_4
85	104	congenital myopathy	http://purl.obolibrary.org/obo/DOID_0080100
96	104	myopathy	http://purl.obolibrary.org/obo/DOID_423
214	234	central core disease	http://purl.obolibrary.org/obo/DOID_3529
227	234	disease	http://purl.obolibrary.org/obo/DOID_4
239	261	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
9	24	ophthalmoplegia	http://purl.obolibrary.org/obo/DOID_539
99	114	ophthalmoplegia	http://purl.obolibrary.org/obo/DOID_539
45	54	scoliosis	http://purl.obolibrary.org/obo/DOID_0060249
52	74	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
129	136	disease	http://purl.obolibrary.org/obo/DOID_4
151	166	ophthalmoplegia	http://purl.obolibrary.org/obo/DOID_539
234	254	central core disease	http://purl.obolibrary.org/obo/DOID_3529
247	254	disease	http://purl.obolibrary.org/obo/DOID_4
9	17	myopathy	http://purl.obolibrary.org/obo/DOID_423
23	38	ophthalmoplegia	http://purl.obolibrary.org/obo/DOID_539
85	107	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
318	340	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
102	112	dyskinesia	http://purl.obolibrary.org/obo/DOID_306
201	211	dyskinesia	http://purl.obolibrary.org/obo/DOID_306
105	112	disease	http://purl.obolibrary.org/obo/DOID_4
278	285	disease	http://purl.obolibrary.org/obo/DOID_4
62	68	cancer	http://purl.obolibrary.org/obo/DOID_162
45	52	disease	http://purl.obolibrary.org/obo/DOID_4
54	64	dyskinesia	http://purl.obolibrary.org/obo/DOID_306
117	127	dyskinesia	http://purl.obolibrary.org/obo/DOID_306
54	79	myotonic dystrophy type 1	http://purl.obolibrary.org/obo/DOID_11722
13	20	disease	http://purl.obolibrary.org/obo/DOID_4
52	71	congenital myopathy	http://purl.obolibrary.org/obo/DOID_0080100
63	71	myopathy	http://purl.obolibrary.org/obo/DOID_423
98	120	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
13	20	disease	http://purl.obolibrary.org/obo/DOID_4
96	102	cancer	http://purl.obolibrary.org/obo/DOID_162
172	178	cancer	http://purl.obolibrary.org/obo/DOID_162
25	31	cancer	http://purl.obolibrary.org/obo/DOID_162
134	140	cancer	http://purl.obolibrary.org/obo/DOID_162
38	44	cancer	http://purl.obolibrary.org/obo/DOID_162
93	114	ataxia telangiectasia	http://purl.obolibrary.org/obo/DOID_12704
104	126	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
45	67	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
99	106	disease	http://purl.obolibrary.org/obo/DOID_4
70	77	disease	http://purl.obolibrary.org/obo/DOID_4
22	43	ataxia telangiectasia	http://purl.obolibrary.org/obo/DOID_12704
41	53	rod myopathy	http://purl.obolibrary.org/obo/DOID_3191
45	53	myopathy	http://purl.obolibrary.org/obo/DOID_423
102	108	cancer	http://purl.obolibrary.org/obo/DOID_162
16	24	syndrome	http://purl.obolibrary.org/obo/DOID_225
14	20	cancer	http://purl.obolibrary.org/obo/DOID_162
27	37	dyskinesia	http://purl.obolibrary.org/obo/DOID_306
27	37	dyskinesia	http://purl.obolibrary.org/obo/DOID_306
116	124	dystonia	http://purl.obolibrary.org/obo/DOID_543
126	132	chorea	http://purl.obolibrary.org/obo/DOID_12859
51	58	disease	http://purl.obolibrary.org/obo/DOID_4
49	71	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
119	138	atrial fibrillation	http://purl.obolibrary.org/obo/DOID_0060224
108	127	atrial fibrillation	http://purl.obolibrary.org/obo/DOID_0060224
76	98	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
103	123	central core disease	http://purl.obolibrary.org/obo/DOID_3529
116	123	disease	http://purl.obolibrary.org/obo/DOID_4
46	68	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
173	195	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
31	46	ophthalmoplegia	http://purl.obolibrary.org/obo/DOID_539
76	98	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
62	115	catecholaminergic polymorphic ventricular tachycardia	http://purl.obolibrary.org/obo/DOID_0060674
168	188	central core disease	http://purl.obolibrary.org/obo/DOID_3529
181	188	disease	http://purl.obolibrary.org/obo/DOID_4
193	215	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
